policy,d,seed_idx,beta,r2
cluster_label_router,4,3,0.9985526026601885,0.9999014088323257
linucb_raw_alpha_0p5,4,3,0.9854569354934491,0.9995474809956865
linucb_raw_alpha_1,4,3,0.9550672527893846,0.9994955198096092
linucb_raw_alpha_2,4,3,0.9678775157039207,0.9997626912099834
linucb_raw_alpha_4,4,3,0.9503217601609011,0.999444850988024
linucb_raw_alpha_8,4,3,0.9551336214487821,0.9997181594421307
linucb_raw,4,3,0.9550672527893846,0.9994955198096092
uniform,4,4,0.9799451049042235,0.9997153921155646
epsilon_greedy,4,4,0.9272368007184216,0.998575847331514
online_softmax_best_arm,4,4,0.912883842741198,0.9998666542285126
softmax_best_arm,4,4,0.9745645330931084,0.9993084720594603
cluster_label_router,4,4,0.9877470882878935,0.9996335214801622
linucb_raw_alpha_0p5,4,4,0.9710753637444846,0.9998193077442987
linucb_raw_alpha_1,4,4,0.9690684611345736,0.9996845110349571
linucb_raw_alpha_2,4,4,0.9375765956922941,0.9996589564427129
linucb_raw_alpha_4,4,4,0.9490876525172446,0.9998438122372993
linucb_raw_alpha_8,4,4,0.9559433061153851,0.9997775879118113
linucb_raw,4,4,0.9690684611345736,0.9996845110349571
uniform,64,0,0.9963507234222313,0.9996721000327814
epsilon_greedy,64,0,0.9288526868771708,0.9996377301184273
online_softmax_best_arm,64,0,0.9378956291668262,0.9993207500694831
softmax_best_arm,64,0,0.9956784787004647,0.9979529567931661
cluster_label_router,64,0,0.999746265605295,0.9995597738661524
linucb_raw_alpha_0p5,64,0,0.9200772559692569,0.9995533461626882
linucb_raw_alpha_1,64,0,0.9131916605095802,0.9997087267731445
linucb_raw_alpha_2,64,0,0.8993277545930622,0.99950202979468
linucb_raw_alpha_4,64,0,0.9093432413765583,0.9990903356492199
linucb_raw_alpha_8,64,0,0.9308793284133057,0.9991048059314096
linucb_raw,64,0,0.9131916605095802,0.9997087267731445
uniform,64,1,0.996018948540368,0.999918353030581
epsilon_greedy,64,1,0.9800932409771964,0.9997866421331706
online_softmax_best_arm,64,1,0.9622976324999211,0.9998328226932445
softmax_best_arm,64,1,1.0254232421805316,0.9997447392177129
cluster_label_router,64,1,0.9864447109798072,0.9999066741810123
linucb_raw_alpha_0p5,64,1,0.9266901400148204,0.9996667086532305
linucb_raw_alpha_1,64,1,0.9259923412565755,0.9998277410705279
linucb_raw_alpha_2,64,1,0.9262832151169053,0.9997458541319262
linucb_raw_alpha_4,64,1,0.9269737343896188,0.9996741759289558
linucb_raw_alpha_8,64,1,0.9317346438023534,0.9998339151064329
linucb_raw,64,1,0.9259923412565755,0.9998277410705279
uniform,64,2,0.9985959817951393,0.9998713836372821
epsilon_greedy,64,2,0.9504264661240001,0.9993731690255786
online_softmax_best_arm,64,2,0.9800204395490855,0.9997525696594157
softmax_best_arm,64,2,1.0135050133580348,0.9995624733783837
cluster_label_router,64,2,0.9729967329612482,0.9995737812219142
linucb_raw_alpha_0p5,64,2,0.9651753926198483,0.9997663333471375
linucb_raw_alpha_1,64,2,0.9626890798487439,0.9996684356126885
linucb_raw_alpha_2,64,2,0.967889331471236,0.9995580061290382
linucb_raw_alpha_4,64,2,0.959041312204487,0.9995613631804374
linucb_raw_alpha_8,64,2,0.95448588274856,0.9997532618377654
linucb_raw,64,2,0.9626890798487439,0.9996684356126885
uniform,64,3,0.9937123380099098,0.9998407467436824
epsilon_greedy,64,3,1.0028691308097142,0.9996892709877989
online_softmax_best_arm,64,3,0.9450776139338589,0.999843890466096
softmax_best_arm,64,3,0.9832445316774604,0.999632346996599
cluster_label_router,64,3,0.9918928421269887,0.9996690818248786
linucb_raw_alpha_0p5,64,3,0.9413441116919826,0.9995082260442321
linucb_raw_alpha_1,64,3,0.9089189487836551,0.9997789023144225
linucb_raw_alpha_2,64,3,0.9169991823079402,0.9996426644726629
linucb_raw_alpha_4,64,3,0.8962745753496163,0.999833873675869
linucb_raw_alpha_8,64,3,0.9166553631115193,0.9996736383929364
linucb_raw,64,3,0.9089189487836551,0.9997789023144225
uniform,64,4,0.9855983931348279,0.9999256133121707
epsilon_greedy,64,4,0.9843984544981278,0.9998662712036913
online_softmax_best_arm,64,4,0.965619988667424,0.9993198087516482
softmax_best_arm,64,4,0.9832478148578115,0.9998654073326707
cluster_label_router,64,4,0.9985767969404301,0.9998025085560628
linucb_raw_alpha_0p5,64,4,0.9148862590247696,0.9992080262083753
linucb_raw_alpha_1,64,4,0.939633638359078,0.9992470956222466
linucb_raw_alpha_2,64,4,0.9319021522737859,0.999469430108638
linucb_raw_alpha_4,64,4,0.9420210445905531,0.9994218495445205
linucb_raw_alpha_8,64,4,0.9410184716533693,0.9989031723383022
linucb_raw,64,4,0.939633638359078,0.9992470956222466
uniform,8,0,1.0136333648530378,0.9998203913627699
epsilon_greedy,8,0,1.001438876662627,0.9997045534977951
online_softmax_best_arm,8,0,0.9750002754443405,0.9996427044591074
softmax_best_arm,8,0,1.0113999115972425,0.9998405501878366
cluster_label_router,8,0,1.0100821998714344,0.9998345086941818
linucb_raw_alpha_0p5,8,0,1.0027953071139821,0.9997844986333566
linucb_raw_alpha_1,8,0,0.9690406547430465,0.9991604388258094
linucb_raw_alpha_2,8,0,0.979823428648918,0.9997254147595711
linucb_raw_alpha_4,8,0,0.9635486140687213,0.9993606194402966
linucb_raw_alpha_8,8,0,0.9801780576132874,0.9991672388871877
linucb_raw,8,0,0.9690406547430465,0.9991604388258094
uniform,8,1,0.9834358882470258,0.9997181072305936
epsilon_greedy,8,1,0.9468696134553639,0.9996836026210701
